idstd,id,a4a,a6a,a2,a4b,a0,a3a,a6c,a6b,a14d,a14m,a14y,a14h,a14min,a1,a12,a1a,a1c,a7,a7a,a7b,a11,a7c,a9,a20y,a20m,a20d,b1,b1x,ITAb1,ITAb1x,b3,b2a,b2b,b2c,b2d,b4,BMb1,BMb3,BMb4,BMb5,BMb6,BMb8a,BMb8b,BMb8c,BMb8d,b5,b6,b6a,b6b,b7,b7a,b8,b8x,c3,c5,c6,c7,c8a,c10,c11,c12,c15,c22b,c30a,d1a1a,d1a1x,d1a3,d2,d2x,n3,BMd1a,d3a,d3b,d3c,d10,d11,d12a,d12b,d30a,d30b,e1,e2b,e6,e11,e30,h1,h3x,h4x,h5,h6x,h7x,BMh1,BMh2,BMh3,f1,f2,BMt1,BMt2,BMt3,BMt4,BMt5,g30a,k1c,k2c,k3a,k3bc,k3e,k3f,BMk3a,BMk3b,BMk3hd,BMk2,k4,BMk5,BMk6,k6,k7,k8,BMk7,k9,k10,k11,BMk9,BMk9x,k15d,k16,k17,k21,k30,h7a,j2,j3,BMj1a,BMj1b,BMj1c,BMj1_impartial_pos,BMj1_transparent_pos,BMj1_voice_pos,j6a,j7a,j10,j13,BMj3a,BMj3b,BMj3c,BMj3_parliament_pos,BMj3_natgov_pos,BMj3_locgov_pos,j30a,j30b,j30c,j30e,j30f,h30,BMj4a,BMj4b,BMj4c,BMj5,BMj5x,l1,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l6,l10,l30a,l30b,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,n2a,n2e,n2b,n2f,n2i,n2p,n2e1,n7a,BMGa22,BMGa23,a15d,a15m,a15y,a15h,a15min,gdpr1a,a15a1a,a15a1ax,a15a2a,a15a3,a15a1bx,a15a2b,a15b3,a15a1cx,a15a2c,a15c3,a16,a17,a18,a19h,a19m,BMGa14gd,BMGa14gm,BMGa14gy,BMGa14gh,BMGa14gmin,BMGa1,BMGa2,BMGa3,BMGa4,BMGb1,BMGb2,BMGc1,BMGc2,BMGc3,BMGc4,BMGc7,BMGc8,BMGc11,BMGc12,BMGc16,BMGc17,BMGc18,BMGc19,BMGc20,BMGc23a,BMGc23b,BMGc23c,BMGc23d,BMGc23e,BMGc23f,BMGc23g,BMGc23h,BMGc23i,BMGc23j,BMGc24,BMGc25,BMGc26,BMGc27,BMGc27x,BMGc28,BMGc29,BMGd6,BMGd7,BMGd8,BMGe1,BMGe2,BMGe2u,BMGe2x,BMGe3,BMGe3u,BMGe3x,BMGe4,BMGe5,BMGe6,BMGe7,BMGa15gd,BMGa15gm,BMGa15gy,BMGa15gh,BMGa15gmin,BMGa15a1dx,BMGa12,a13,a3b,a3c,a3,d1a2,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
658630,1627,3,1,5,29,1,5,10,1,9,1,2019,11,31,159,21,1,1,2,,,,,,2018,6,30,1,,1,,-9,-9,-9,-9,-9,2,80,2,1,2,2,,,,,2011,8,1,2011,30,2,1,Iso 9001,2,,2,,,2,,2,2.0,1,2,1,"Machines, Plants And Equipments For Food Industry, Bakeries And Pastry Shops",80,1167000,One Million One Hundred Sixty-Seven Thousand,1000678,3,-9,-9,-9,-9,0.0,-9,-9,1,2,1,-4.0,2,2,2,2,,,2,,,2,2,2,-9.0,-9.0,,,,,,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,2,2,1.0,,,,,,2,2,1.0,2,1,2,0,-9,2,2,3,2,3,1,2,0.0,-9,-9,2,2,2,2,3,1,3,3,3,3,2,3,3,2,3,4,,7,5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,0,2,2,2,10,9,11,6,7,1,2,14,3,13,12,10,4,8,15,5,125000,200000.0,4000,3000,,-9.0,-9.0,-9.0,1,1,9,1,2019,13,1,2,,,,,,,,,,,2,2,1,,,9,1,2019,12,49,1,1,1.0,2,2,2,2,,,2.0,2,,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,2,2,,-9,,,,,,-9,-9,,-9,-9,,,-9.0,,,-9,-9,-9,,9,1,2019,12,59,,21,2,2,2,4,2925,5,1,3,0,6.928571,6.928571,6.928571,75
658631,1651,3,1,5,29,1,5,13,1,4,2,2019,15,21,159,21,1,1,2,,,,,,2018,12,31,4,,42,,20,100,0,0,0,1,60,2,1,2,2,,,,,1968,2,1,1968,50,2,1,Iso 9001,2,,1,2.0,0.0,2,,2,2.0,1,4,1,"Industry Of Parts And Accessories For Freight Elevator And Lifts, Including Emergency Devices",100,8000000,Eight Million,1200000,2,10,10,80,0,0.0,30,70,-9,1,3,10.0,2,2,-7,1,Advanced Technology Of Electrical Products,Automatic Carryovers To The Floor In Case Of Failures Or Lift Blackouts,2,,,2,2,2,90.0,40.0,,,,,,-7,100,100,100,0,0,0,0,0,0,0,2,2,2,1,1,2,1.0,,,,,,2,2,3.0,2,4,1,50,2,-7,-7,-7,1,3,2,2,0.0,2,2,0,-7,0,2,1,3,4,4,-7,4,4,4,4,2,4,1,,13,14,9.0,4.0,3.0,3.0,3.0,-9.0,-9.0,,-9,2,4,3,10,13,5,8,15,6,4,10,9,1,2,3,14,7,11,12,400000,350000.0,10000,0,,850000.0,350000.0,-9.0,1,1,4,2,2019,16,53,1,2.0,,30.0,1.0,,,,,,,1,2,1,,,4,2,2019,16,41,2,2,,2,2,2,2,,,2.0,2,,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,2,2,,2,,-9.0,,,,2,2,,-9,0,,,0.0,,,0,2,1000,,4,2,2019,16,53,,21,2,2,2,4,2915,5,1,3,0,6.928571,6.928571,6.928571,75
658632,1685,3,1,5,29,1,5,15,1,16,1,2019,14,43,159,21,1,1,2,,,,,,2018,6,30,4,,42,,80,-9,-9,-9,-9,1,50,2,1,1,2,,,,,1946,10,1,1946,15,2,2,,2,,2,,,2,,2,2.0,1,1,1,"Manufacture Of Agricultural, Stockbreeding And Forestry Machinery, Transformation Of Fruit",90,1950000,One Million Nine Hundred Fifty Thousand,1450000,3,-9,-9,-9,0,0.0,-9,-9,1,2,3,-9.0,2,2,2,2,,,2,,,2,-9,-9,-9.0,-9.0,,,,,,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,2,2,1.0,,,,,,1,2,1.0,2,2,2,-9,2,2,2,2,3,1,2,2,0.0,-9,-9,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,4,,9,7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,0,2,1,2,13,5,7,11,6,13,10,2,8,14,1,12,3,9,15,4,300000,800000.0,5000,7000,,-9.0,-9.0,-9.0,1,1,16,1,2019,15,58,2,,,,,,,,,,,3,3,1,,,16,1,2019,14,56,1,2,,2,2,2,2,,,2.0,2,,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,2,2,,2,,2.0,,,,-9,-9,,-9,-9,,,-9.0,,,-9,-9,-9,,16,1,2019,15,37,,21,2,2,2,4,2921,5,1,3,0,6.928571,6.928571,6.928571,75
658633,1686,3,1,5,33,1,5,12,1,22,2,2019,11,16,159,21,1,1,2,,,,,,2018,6,30,4,,42,,70,100,0,0,0,2,0,1,2,2,2,,,,,2007,8,1,2007,10,2,1,Iso 9000,2,,2,,,2,,2,2.0,2,3,1,"Machines And Equipments For Optical Industry And For Opticians, For Watchmaking Industry And For Jewelry Industry",100,-9,,-9,3,50,0,50,0,0.0,100,0,2,2,3,-4.0,2,2,2,2,,,2,,,2,2,2,80.0,-9.0,,,,,,3,40,20,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,1,2,2,1.0,,,,,,2,2,1.0,2,2,2,0,2,-7,-7,-7,2,3,1,2,0.0,2,2,1,1,1,2,3,1,2,2,2,2,2,2,2,3,2,5,,12,16,8.0,4.0,8.0,0.0,0.0,0.0,0.0,,0,2,3,3,13,9,12,6,4,10,1,8,3,5,7,15,13,11,2,14,-9,-9.0,-9,-9,,-9.0,-9.0,-9.0,1,1,22,2,2019,12,16,1,2.0,,8.0,1.0,,,,,,,1,2,1,,,22,2,2019,12,5,2,2,,2,2,2,2,,,2.0,2,,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,2,2,,2,,1.0,,,,2,2,,-9,-9,,,-9.0,,,-9,-9,-9,,22,2,2019,12,16,,21,2,2,2,4,3320,5,1,3,0,6.928571,6.928571,6.928571,75
658634,1698,3,1,5,29,1,5,10,1,22,2,2019,12,49,159,21,1,1,2,,,,,,2018,6,30,4,,42,,60,100,0,0,0,1,50,1,2,2,2,,,,,1997,8,1,1997,20,2,1,Iso 9001,2,,2,,,2,,2,2.0,1,3,1,Manufacturing And Maintenance Of Earth-Moving Machines,100,420000,Four Hundred Twenty Thousand,350000,3,60,0,40,0,0.0,80,20,3,3,3,-4.0,2,2,3,2,,,2,,,2,2,2,90.0,-9.0,,,,,,1,30,20,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,1,2,2,1.0,,,,,,2,2,1.0,2,2,2,-9,2,-7,-7,-7,3,2,1,2,0.0,2,2,2,2,2,2,3,1,2,2,2,3,3,3,2,2,2,2,,10,10,8.0,2.0,0.0,8.0,0.0,0.0,0.0,,0,2,3,2,4,5,8,11,1,14,12,7,15,6,4,13,2,10,3,9,-9,-9.0,-9,-9,,-9.0,-9.0,-9.0,1,1,22,2,2019,13,47,1,2.0,,20.0,2.0,,,,,,,2,4,1,,,22,2,2019,13,31,2,2,,2,2,2,2,,,2.0,2,,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,2,2,,2,,1.0,,,,2,2,,-9,-9,,,-9.0,,,-9,2,-9,,22,2,2019,13,47,,21,2,2,2,4,2924,5,1,3,0,6.928571,6.928571,6.928571,75
658635,1704,3,1,5,29,1,5,16,1,30,1,2019,10,41,159,21,1,1,2,,,,,,2018,6,30,4,,42,,60,-9,-9,-9,-9,2,0,1,1,2,2,,,,,2004,12,1,2004,10,2,1,Iso 9000,2,,2,,,2,,2,2.0,1,0,1,"Manufacturing Of Fluid Dynamic Lifting Machines, Pulley Tackle And Hoists",90,22000000,Twenty Two Million,20000000,3,50,30,20,0,0.0,70,30,1,1,2,-4.0,2,2,1,2,,,2,,,2,2,2,80.0,-9.0,,,,,,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-7,2,2,2,1,2,2,1.0,,,,,,2,2,1.0,2,1,2,0,1,3,3,3,2,1,3,2,0.0,2,2,0,0,0,3,2,1,1,1,1,1,1,1,1,1,1,2,,10,9,6.0,4.0,-9.0,-9.0,-9.0,0.0,0.0,,0,1,1,2,12,1,8,6,14,4,13,2,11,5,12,10,9,3,15,7,200000,-9.0,-9,-9,,-9.0,-9.0,-9.0,1,1,30,1,2019,11,45,1,2.0,,14.0,1.0,,,,,,,2,2,1,,,30,1,2019,11,32,2,2,,2,2,2,2,,,2.0,2,,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,2,2,,2,,1.0,,,,2,2,,-9,-9,,,-9.0,,,-9,2,-9,,30,1,2019,11,45,,21,2,2,2,4,2915,5,1,3,0,6.928571,6.928571,6.928571,75
658636,1708,3,1,5,29,1,5,15,1,11,3,2019,14,13,159,21,1,1,2,,,,,,2018,6,30,4,,42,,60,100,0,0,0,2,0,2,2,2,2,,,,,2013,10,1,2013,5,2,1,Iso 9001,2,,2,,,2,,2,2.0,1,2,1,Manufacturing Of Water Purification Plants,85,18000,Eighteen Thousand,-9,3,100,0,0,-7,,100,0,0,0,1,20.0,2,2,0,2,,,2,,,2,2,2,80.0,-9.0,,,,,,2,25,44,100,0,0,0,0,0,0,-7,2,2,2,1,2,2,1.0,,,,,,2,2,1.0,2,1,2,0,2,-7,-7,-7,2,1,3,2,0.0,2,2,2,1,2,3,1,2,2,2,2,2,2,2,2,2,2,3,,15,10,14.0,1.0,14.0,0.0,0.0,0.0,1.0,,0,2,2,2,14,15,6,8,5,2,3,13,1,11,4,12,14,10,9,7,-9,2000.0,3000,500,,16000.0,100000.0,10000.0,1,1,11,3,2019,14,48,2,,,,,,,,,,,1,1,1,,,11,3,2019,14,26,2,2,,2,2,2,2,,,2.0,2,,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,2,2,,2,,1.0,,,,2,2,,-9,-9,,,-9.0,,,-9,2,-9,,11,3,2019,14,59,,21,2,2,2,3,2925,5,1,3,0,6.928571,6.928571,6.928571,75
658637,1721,3,1,5,28,1,5,20,2,25,2,2019,13,15,159,21,1,1,2,,,,,,2018,6,30,4,,42,,60,100,0,0,0,2,0,1,1,2,2,,,,,2013,15,1,2013,6,2,1,Iso 9001,2,,2,,,2,,2,2.0,1,2,1,Production Of Medium And Heavy Metal Structural Work,80,540000,Five Hundred Forty Thousand,-9,3,50,0,50,0,0.0,100,0,2,2,3,-4.0,2,2,2,2,,,2,,,1,2,2,90.0,-9.0,,,,,,3,30,60,100,0,0,0,0,0,0,100,2,2,2,1,2,2,1.0,,,,,,2,2,1.0,2,1,3,0,2,-7,-7,-7,3,1,2,2,0.0,2,2,3,3,2,2,3,1,2,2,3,2,2,3,3,2,2,3,,20,15,16.0,4.0,10.0,6.0,0.0,0.0,0.0,,0,2,1,2,14,11,2,15,7,10,14,1,8,6,5,13,12,3,4,9,25000,40000.0,25000,7000,,150000.0,100000.0,40000.0,1,1,25,2,2019,13,50,1,2.0,,6.0,1.0,,,,,,,1,2,1,,,25,2,2019,13,26,2,2,,2,2,2,2,,,2.0,2,,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,2,2,,2,,3.0,,,,-9,2,,-9,-9,,,-9.0,,,-9,-9,-9,,25,2,2019,13,49,,21,2,2,2,4,2811,5,1,3,0,6.928571,6.928571,6.928571,75
658638,1753,3,1,5,29,1,5,12,1,27,2,2019,13,57,159,21,1,1,2,,,,,,2018,6,30,1,,1,,100,100,0,0,0,2,0,2,2,2,2,,,,,2008,8,1,2008,11,2,1,Iso 9000,2,,2,,,2,,2,2.0,2,2,1,Manufacturing Of Marble Working Machines,100,500000,Five Hundred Thousand,200000,3,100,0,0,-7,,100,0,-7,-7,1,-4.0,2,2,2,2,,,2,,,2,2,2,80.0,-9.0,,,,,,2,30,20,-9,-9,0,0,0,0,0,-7,2,2,2,1,2,2,1.0,,,,,,2,2,1.0,2,2,2,0,2,-7,-7,-7,2,1,3,2,0.0,2,2,-7,-7,-7,2,3,1,3,3,3,3,2,3,3,3,2,5,,12,8,9.0,3.0,9.0,0.0,0.0,0.0,0.0,,0,2,2,2,13,12,11,15,2,9,10,13,5,1,8,3,7,4,14,6,-9,-9.0,-9,-9,,-9.0,-9.0,-9.0,1,1,27,2,2019,14,45,1,1.0,,10.0,1.0,,,,,,,1,2,1,,,27,2,2019,14,7,1,1,1.0,2,2,2,2,,,2.0,2,,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,2,2,,2,,2.0,,,,2,2,,-9,-9,,,-9.0,,,-9,-9,-9,,27,2,2019,14,39,,21,2,2,2,4,2922,5,1,3,0,6.928571,6.928571,6.928571,75
658639,1770,3,1,5,29,1,5,10,1,9,3,2019,14,47,159,21,1,1,2,,,,,,2018,1,31,4,,42,,60,100,0,0,0,2,0,2,2,2,2,,,,,1983,6,1,1983,20,2,1,Iso 9001,2,,2,,,2,,2,2.0,2,2,1,Manufacturing Of Water Treatment Machines,100,-9,,-9,3,100,0,0,-7,,100,0,-7,-7,1,-4.0,2,2,3,2,,,2,,,2,2,2,80.0,-9.0,,,,,,3,10,0,60,40,0,0,0,0,0,-7,2,2,2,1,2,2,1.0,,,,,,2,2,1.0,2,3,2,-9,2,-7,-7,-7,2,3,1,2,0.0,2,2,2,3,2,1,3,2,3,3,3,3,3,2,2,3,3,3,,10,7,9.0,1.0,9.0,0.0,0.0,0.0,1.0,,0,2,2,2,4,7,6,12,4,2,1,10,11,9,15,5,3,8,14,13,-9,-9.0,-9,-9,,-9.0,-9.0,-9.0,1,1,9,3,2019,15,33,1,2.0,,20.0,1.0,,,,,,,1,2,1,,,9,3,2019,15,0,2,2,,2,2,2,2,,,2.0,2,,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,2,2,,2,,2.0,,,,2,2,,-9,-9,,,-9.0,,,-9,2,-9,,9,3,2019,15,22,,21,2,2,2,2,2925,5,1,3,0,6.928571,6.928571,6.928571,75
658640,1776,3,1,5,31,1,5,15,1,19,2,2019,10,43,159,21,1,1,2,,,,,,2018,6,30,4,,42,,60,100,0,0,0,2,0,1,1,2,2,,,,,2014,10,1,2014,10,2,1,Iso 9001,2,,2,,,2,,2,2.0,2,3,1,"Installation Of Electronic Equipments For Telecommunication, Broadcast Transmitter-Receivers Or Transmitters",100,634000,Six Hundred Thirty-Four Thousand,500670,3,50,50,0,0,0.0,80,20,2,3,2,-4.0,2,2,2,2,,,2,,,2,2,2,80.0,-9.0,,,,,,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,1,2,2,1.0,,,,,,2,2,1.0,2,2,-7,0,2,-7,-7,-7,3,2,1,2,0.0,2,2,0,0,0,1,3,2,2,2,0,0,2,0,2,0,0,2,,15,5,10.0,5.0,0.0,10.0,0.0,0.0,0.0,,0,2,2,2,11,13,1,3,8,12,15,14,6,7,2,10,4,5,9,11,140000,100000.0,-9,-9,,-9.0,-9.0,-9.0,1,1,19,2,2019,11,50,1,2.0,,5.0,1.0,,,,,,,1,2,1,,,19,2,2019,11,35,2,2,,2,2,2,2,,,2.0,2,,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,2,2,,2,,1.0,,,,2,2,,-9,-9,,,-9.0,,,-9,-9,-9,,19,2,2019,11,50,,21,2,2,2,4,3230,5,1,3,0,6.928571,6.928571,6.928571,75
658641,1779,3,1,5,29,1,5,6,1,20,3,2019,16,3,159,21,1,1,2,,,,,,2018,6,30,4,,41,,65,100,0,0,0,2,0,2,2,2,2,,,,,1992,3,1,1992,12,2,1,Iso 9001,2,,2,,,2,,2,2.0,1,2,1,Water Filtering Machinery,100,-9,,30000,3,100,0,0,-7,,100,0,2,2,1,-4.0,2,2,2,2,,,2,,,2,2,2,80.0,-9.0,,,,,,2,30,0,-9,-9,-9,-9,-9,-9,-9,-7,2,2,2,1,2,2,1.0,,,,,,2,2,1.0,2,2,2,0,2,-7,-7,-7,2,1,3,2,0.0,2,2,2,2,1,1,3,2,2,2,3,2,2,2,2,2,2,4,,6,5,5.0,1.0,5.0,0.0,0.0,0.0,1.0,,0,2,2,2,1,6,13,7,8,9,10,4,14,3,1,2,15,11,12,5,-9,50000.0,20000,-9,,-9.0,-9.0,-9.0,1,1,20,3,2019,16,40,1,1.0,,6.0,1.0,,,,,,,1,3,1,,,20,3,2019,16,13,2,2,,2,2,2,2,,,2.0,2,,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,2,2,,2,,2.0,,,,2,2,,18000,-9,,,-9.0,,,-9,2,-9,,20,3,2019,16,15,,21,2,2,2,4,2925,5,1,3,0,6.928571,6.928571,6.928571,75
658642,1799,3,1,5,29,1,5,18,1,18,1,2019,14,34,159,21,1,1,2,,,,,,2018,6,30,4,,42,,80,-9,-9,-9,-9,2,0,1,1,2,2,,,,,2011,11,1,2011,12,2,1,Iso 9000,2,,2,,,2,,2,2.0,1,2,1,Plants And Equipments For Packaging And Filling Of Cans,90,1046500,One Million Forty-Six Thousand Five Hundred,946890,3,-9,-9,-9,0,0.0,80,20,2,2,2,-4.0,1,2,2,2,,,2,,,2,2,2,-9.0,-9.0,,,,,,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,2,1,2,2,1.0,,,,,,1,2,1.0,2,2,2,-9,2,1,-7,3,1,3,2,2,-8.0,2,2,2,2,2,1,2,3,2,3,2,2,3,2,2,2,2,3,,10,8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,0,1,1,2,6,14,11,4,15,2,10,8,9,7,6,12,1,13,3,5,500000,100000.0,-9,-9,,-9.0,-9.0,-9.0,1,1,18,1,2019,15,39,1,2.0,,7.0,1.0,,,,,,,2,2,1,,,18,1,2019,15,17,2,2,,2,2,2,2,,,2.0,2,,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,2,2,,2,,2.0,,,,2,2,,-9,-9,,,-9.0,,,-9,-9,-9,,18,1,2019,15,29,,21,2,2,2,4,2919,5,1,3,0,6.928571,6.928571,6.928571,75
658643,1822,3,1,2,29,1,2,8,1,23,5,2019,14,46,159,27,1,1,2,,,,,,2018,12,31,4,,42,,50,100,0,0,0,2,0,2,2,2,2,,,,,2003,8,1,2003,20,2,2,,2,,2,,,1,20.0,2,2.0,1,1,1,"Design And Construction Of Mechanical Machines For The Fruit And Vegetable Industry (Palletizers, Strapping Machines, Bins Dumpers)",100,1200000,One Million Two Hundred Thousand,1000000,3,70,10,20,0,2.0,70,30,3,3,3,-9.0,2,-9,-7,2,,,2,,,2,2,2,98.0,60.0,,,,,,-7,90,90,10,0,0,90,0,0,0,-7,2,1,2,1,1,2,1.0,,,,,,2,2,2.0,2,3,1,-9,2,-7,-7,-7,1,3,2,2,0.0,2,2,-9,0,0,1,2,3,3,2,0,2,0,0,3,2,3,1,,8,8,5.0,3.0,5.0,0.0,0.0,2.0,2.0,,0,2,3,0,13,12,8,6,1,14,4,3,2,5,11,7,15,13,10,9,200000,500000.0,80000,-9,,1130000.0,-9.0,3000000.0,1,1,23,5,2019,15,21,1,2.0,,10.0,2.0,,,,,,,2,3,1,,,23,5,2019,15,14,2,2,,2,2,2,1,3.0,2.0,2.0,1,1.0,2,2.0,2,,1,2.0,2.0,2,2,1,2,2,2,2,1,1,2,3.0,2,,1.0,,,,-9,2,,-9,-9,,,-9.0,,,-9,2,-9,,23,5,2019,15,17,,27,1,2,2,4,2929,2,1,3,0,828.0,828.0,828.0,21
658644,1852,3,1,2,29,1,2,18,1,24,5,2019,15,19,159,27,1,1,2,,,,,,2018,12,31,4,,42,,40,100,0,0,0,2,0,2,2,2,2,,,,,1970,7,1,1970,35,2,2,,2,,2,,,2,,2,2.0,1,0,1,Production Of Cleaning Equipment,100,3000000,Three Million,-9,3,100,0,0,0,0.0,-9,-9,0,0,2,-9.0,2,-9,-7,2,,,2,,,2,2,2,100.0,50.0,,,,,,0,90,80,10,0,0,90,0,0,0,-7,2,2,2,1,1,2,1.0,,,,,,2,2,2.0,2,3,-9,5,2,-7,-7,-7,1,3,2,2,0.0,2,2,0,0,0,3,2,1,3,3,2,2,2,0,3,3,3,3,,18,18,10.0,8.0,5.0,5.0,0.0,4.0,4.0,,0,2,3,1,10,5,11,13,6,14,9,4,2,8,3,10,1,7,12,15,450000,1500000.0,40000,10000,,2950000.0,1500000.0,5000000.0,1,1,24,5,2019,15,44,1,2.0,,10.0,2.0,,,,,,,2,3,1,,,24,5,2019,15,40,2,2,,2,2,2,1,2.0,2.0,2.0,1,1.0,2,2.0,2,,2,,2.0,1,-9,1,1,2,1,2,1,1,2,8.0,2,,3.0,,,,-9,2,,40000,-9,,,-9.0,,,-9,2,-9,,24,5,2019,15,53,,27,1,2,2,4,2919,2,1,3,0,828.0,828.0,828.0,21
658645,1871,3,1,2,29,1,2,10,1,12,6,2019,15,29,159,27,1,1,2,,,,,,2018,12,31,4,,42,,50,100,0,0,0,2,0,2,2,2,2,,,,,1980,10,1,1980,39,2,2,,2,,2,,,1,20.0,2,2.0,1,2,1,Production Of Woodworking Machines,100,5000000,Five Million,-9,3,40,0,60,1,3.0,60,40,2,1,3,-9.0,2,-9,-9,2,,,2,,,2,2,2,98.0,50.0,,,,,,0,80,80,20,0,0,80,0,0,0,-7,2,1,2,1,1,2,1.0,,,,,,2,2,7.0,2,3,1,5,2,-7,-7,-7,1,2,3,2,0.0,2,2,0,0,0,3,2,1,3,3,2,1,1,0,3,1,3,2,,10,10,7.0,3.0,2.0,3.0,2.0,2.0,2.0,,0,2,2,1,10,1,8,12,3,15,13,4,5,9,11,6,10,7,14,2,300000,2000000.0,80000,-9,,4900000.0,2000000.0,3000000.0,1,1,12,6,2019,16,11,1,2.0,,25.0,1.0,,,,,,,2,3,1,,,12,6,2019,16,5,2,2,,2,2,2,1,2.0,2.0,2.0,1,1.0,1,2.0,1,2.0,1,2.0,2.0,1,1,1,1,1,1,2,1,1,1,3.0,1,1.0,,,1.0,2.0,1,2,,60000,-9,,,-9.0,,,-9,2,30000,,12,6,2019,16,11,,27,1,2,2,3,2921,2,1,3,0,828.0,828.0,828.0,21
658646,1879,3,1,2,29,1,2,18,1,15,5,2019,15,54,159,27,1,1,2,,,,,,2018,12,31,4,,42,,100,100,0,0,0,2,100,2,2,2,1,3.0,-9.0,4.0,3.0,1994,10,1,1994,24,2,1,Iso 9001,2,,2,,,1,20.0,2,2.0,1,1,1,Production Of Accessories For The Cleaning Sector,80,2000000,Two Million,2000000,3,80,20,0,0,1.0,50,50,2,0,3,-9.0,2,2,-9,2,,,1,A New Production Line Of Hose Reels Has Been Introduced,This New Production Line Is Lighter Than The Previous One And It Has Allowed Them To Expand Their Business,2,2,2,95.0,45.0,,,,,,-7,80,60,20,0,0,80,0,0,0,-7,2,2,2,1,1,2,1.0,,,,,,2,2,1.0,2,2,1,2,2,-7,-7,-7,1,3,2,2,0.0,2,2,-7,-7,-7,3,1,2,3,3,2,2,2,0,3,3,2,3,,18,18,14.0,4.0,4.0,4.0,6.0,0.0,3.0,,0,2,3,2,14,10,6,8,15,5,9,4,3,11,7,13,14,12,1,2,430000,600000.0,50000,20000,,1950000.0,600000.0,-9.0,1,1,15,5,2019,16,47,1,2.0,,24.0,1.0,,,,,,,2,3,1,,,15,5,2019,16,42,2,2,,2,2,2,1,2.0,2.0,2.0,1,1.0,2,2.0,1,3.0,1,2.0,2.0,1,2,1,1,1,1,2,1,1,1,3.0,1,1.0,,,2.0,,-9,2,,-9,-9,,,-9.0,,,0,2,-9,,15,5,2019,16,46,,27,1,2,2,4,2919,2,1,3,0,828.0,828.0,828.0,21
658647,1894,3,1,3,36,1,3,5,1,13,3,2019,18,17,159,32,1,1,2,,,,,,2018,5,31,4,,42,,51,100,0,0,0,1,61,1,2,2,2,,,,,1995,2,1,1995,23,2,2,,2,,2,,,2,,2,2.0,2,1,1,Wood Furnitures,65,250000,Two Hundred Fifty Thousand,220000,2,100,0,0,0,0.0,100,0,2,0,1,-4.0,2,1,2,2,,,2,,,2,2,2,100.0,60.0,,,,,,-7,0,0,100,0,0,0,0,0,0,-7,2,2,2,1,2,2,1.0,,,,,,2,2,1.0,2,1,2,15,2,-7,-7,-7,2,3,1,2,-9.0,2,2,0,0,0,1,2,3,2,2,1,2,1,0,2,0,0,1,,5,5,3.0,2.0,1.0,2.0,0.0,0.0,1.0,,0,2,2,1,14,5,12,11,10,15,3,1,6,9,14,4,13,8,2,7,-9,-9.0,-9,-9,,-9.0,-9.0,-9.0,1,1,13,3,2019,19,22,2,,,,,,,,,,,2,2,1,,,13,3,2019,19,11,2,2,,2,2,2,2,,,2.0,1,2.0,2,2.0,2,,2,,2.0,2,2,2,2,2,2,2,2,2,2,,2,,3.0,,,,2,2,,-9,-9,,,-9.0,,,-9,2,-9,,13,3,2019,19,21,,32,5,1,2,2,3610,3,1,3,0,224.75,224.75,224.75,39
